offset,size,type 1981 1981 2000 1
0,1024,1
1024,1024,0
2048,1024,0
3072,1024,0
4096,1024,0
5120,1024,1
6144,1024,0
7168,1024,0
8192,1024,0
9216,1024,0
10240,1024,0
11264,1024,0
12288,1024,0
13312,1024,0
14336,1024,0
15360,1024,0
16384,1024,0
17408,1024,0
18432,1024,0
19456,1024,1
20480,1024,0
21504,1024,1
22528,1024,0
23552,1024,1
24576,1024,1
25600,1024,1
26624,1024,1
27648,1024,1
28672,1024,1
29696,1024,1
30720,1024,0
31744,1024,0
32768,1024,0
33792,1024,0
34816,1024,0
35840,1024,0
36864,1024,0
37888,1024,1
38912,1024,1
39936,1024,1
40960,1024,0
41984,1024,0
43008,1024,1
44032,1024,0
45056,1024,0
46080,1024,1
47104,1024,1
48128,1024,0
49152,1024,1
50176,1024,0
51200,1024,0
52224,1024,0
53248,1024,0
54272,1024,1
55296,1024,0
56320,1024,1
57344,1024,0
58368,1024,1
59392,1024,0
60416,1024,0
61440,1024,1
62464,1024,1
63488,1024,1
64512,1024,0
65536,1024,0
66560,1024,1
67584,1024,0
68608,1024,1
69632,1024,0
70656,1024,0
71680,1024,0
72704,1024,0
73728,1024,1
74752,1024,0
75776,1024,0
76800,1024,0
77824,1024,1
78848,1024,0
79872,1024,1
80896,1024,0
81920,1024,0
82944,1024,1
83968,1024,1
84992,1024,0
86016,1024,0
87040,1024,0
88064,1024,1
89088,1024,1
90112,1024,0
91136,1024,0
92160,1024,1
93184,1024,0
94208,1024,0
95232,1024,0
96256,1024,1
97280,1024,0
98304,1024,0
99328,1024,1
100352,1024,0
101376,1024,1
102400,1024,0
103424,1024,1
104448,1024,0
105472,1024,0
106496,1024,0
107520,1024,0
108544,1024,1
109568,1024,0
110592,1024,0
111616,1024,0
112640,1024,1
113664,1024,0
114688,1024,1
115712,1024,0
116736,1024,1
117760,1024,0
118784,1024,0
119808,1024,0
120832,1024,0
121856,1024,1
122880,1024,0
123904,1024,1
124928,1024,0
125952,1024,1
126976,1024,0
128000,1024,1
129024,1024,1
130048,1024,1
131072,1024,0
132096,1024,0
133120,1024,0
134144,1024,1
135168,1024,1
136192,1024,1
137216,1024,1
138240,1024,0
139264,1024,0
140288,1024,0
141312,1024,1
142336,1024,0
143360,1024,0
144384,1024,0
145408,1024,0
146432,1024,0
147456,1024,1
148480,1024,0
149504,1024,0
150528,1024,1
151552,1024,1
152576,1024,0
153600,1024,0
154624,1024,0
155648,1024,0
156672,1024,1
157696,1024,0
158720,1024,0
159744,1024,0
160768,1024,1
161792,1024,0
162816,1024,1
163840,1024,0
164864,1024,1
165888,1024,0
166912,1024,1
167936,1024,0
168960,1024,1
169984,1024,1
171008,1024,1
172032,1024,1
173056,1024,0
174080,1024,0
175104,1024,0
176128,1024,1
177152,1024,0
178176,1024,0
179200,1024,1
180224,1024,0
181248,1024,0
182272,1024,1
183296,1024,1
184320,1024,1
185344,1024,0
186368,1024,0
187392,1024,1
188416,1024,0
189440,1024,1
190464,1024,1
191488,1024,0
192512,1024,0
193536,1024,0
194560,1024,1
195584,1024,0
196608,1024,0
197632,1024,1
198656,1024,0
199680,1024,1
200704,1024,1
201728,1024,1
202752,1024,1
203776,1024,0
204800,1024,1
205824,1024,1
21504,1024,1
206848,1024,1
207872,1024,0
208896,1024,0
209920,1024,0
210944,1024,0
211968,1024,1
212992,1024,1
214016,1024,0
215040,1024,0
216064,1024,0
217088,1024,1
218112,1024,1
219136,1024,1
220160,1024,0
221184,1024,1
222208,1024,0
223232,1024,0
224256,1024,0
225280,1024,0
226304,1024,0
227328,1024,0
228352,1024,0
229376,1024,0
230400,1024,1
231424,1024,1
232448,1024,0
233472,1024,0
234496,1024,0
235520,1024,0
236544,1024,1
237568,1024,1
238592,1024,0
239616,1024,0
240640,1024,0
241664,1024,0
242688,1024,0
243712,1024,1
244736,1024,0
245760,1024,1
246784,1024,0
247808,1024,0
248832,1024,0
249856,1024,0
250880,1024,0
251904,1024,0
252928,1024,1
253952,1024,0
254976,1024,1
256000,1024,0
257024,1024,1
258048,1024,0
259072,1024,0
260096,1024,0
261120,1024,1
262144,1024,0
263168,1024,1
264192,1024,1
265216,1024,1
266240,1024,1
267264,1024,1
268288,1024,0
269312,1024,1
270336,1024,0
271360,1024,1
272384,1024,0
273408,1024,1
274432,1024,0
275456,1024,1
276480,1024,0
277504,1024,0
278528,1024,0
279552,1024,0
280576,1024,1
281600,1024,1
282624,1024,0
283648,1024,0
284672,1024,1
285696,1024,1
286720,1024,0
287744,1024,1
288768,1024,1
289792,1024,0
290816,1024,1
291840,1024,0
292864,1024,0
293888,1024,0
294912,1024,0
295936,1024,0
296960,1024,0
297984,1024,0
299008,1024,0
300032,1024,0
301056,1024,1
302080,1024,0
303104,1024,0
304128,1024,0
305152,1024,1
306176,1024,0
307200,1024,1
308224,1024,0
309248,1024,1
310272,1024,0
311296,1024,1
312320,1024,0
313344,1024,1
314368,1024,0
315392,1024,0
316416,1024,1
317440,1024,0
318464,1024,0
319488,1024,0
320512,1024,0
321536,1024,0
322560,1024,1
323584,1024,0
324608,1024,1
325632,1024,1
326656,1024,1
327680,1024,0
328704,1024,0
329728,1024,0
330752,1024,0
331776,1024,1
332800,1024,0
333824,1024,0
334848,1024,0
335872,1024,0
336896,1024,0
337920,1024,1
338944,1024,0
339968,1024,0
340992,1024,0
342016,1024,0
343040,1024,0
344064,1024,0
345088,1024,0
346112,1024,1
347136,1024,1
348160,1024,0
349184,1024,0
350208,1024,0
351232,1024,0
352256,1024,1
353280,1024,1
354304,1024,1
355328,1024,0
356352,1024,1
357376,1024,1
358400,1024,0
359424,1024,0
360448,1024,0
361472,1024,1
362496,1024,0
363520,1024,1
364544,1024,0
365568,1024,1
366592,1024,0
367616,1024,0
368640,1024,1
369664,1024,0
370688,1024,1
371712,1024,0
372736,1024,0
373760,1024,0
374784,1024,0
375808,1024,0
376832,1024,0
377856,1024,0
378880,1024,0
379904,1024,0
380928,1024,0
381952,1024,0
382976,1024,1
384000,1024,1
385024,1024,1
386048,1024,1
387072,1024,1
388096,1024,1
389120,1024,1
390144,1024,0
391168,1024,1
392192,1024,0
393216,1024,1
394240,1024,0
395264,1024,1
396288,1024,0
397312,1024,1
398336,1024,1
399360,1024,0
400384,1024,0
401408,1024,1
402432,1024,0
403456,1024,0
404480,1024,0
405504,1024,0
406528,1024,0
407552,1024,0
408576,1024,0
409600,1024,1
410624,1024,0
411648,1024,1
412672,1024,0
413696,1024,1
414720,1024,1
415744,1024,1
