offset,size,type 1984 1984 2000 1
0,1024,0
1024,1024,0
2048,1024,0
3072,1024,0
4096,1024,0
5120,1024,0
6144,1024,0
7168,1024,0
8192,1024,0
9216,1024,0
10240,1024,0
11264,1024,0
12288,1024,0
13312,1024,0
14336,1024,0
15360,1024,0
16384,1024,0
17408,1024,0
18432,1024,0
19456,1024,0
20480,1024,0
21504,1024,0
22528,1024,0
23552,1024,0
24576,1024,0
25600,1024,0
26624,1024,0
27648,1024,0
28672,1024,0
29696,1024,0
30720,1024,0
31744,1024,0
32768,1024,0
33792,1024,0
34816,1024,0
35840,1024,0
36864,1024,0
37888,1024,0
38912,1024,0
39936,1024,0
40960,1024,0
41984,1024,0
43008,1024,0
44032,1024,0
45056,1024,0
46080,1024,0
47104,1024,0
48128,1024,0
49152,1024,0
50176,1024,0
51200,1024,0
52224,1024,0
53248,1024,0
54272,1024,0
55296,1024,0
56320,1024,0
57344,1024,0
58368,1024,0
59392,1024,0
60416,1024,0
61440,1024,0
62464,1024,0
63488,1024,0
64512,1024,0
65536,1024,0
66560,1024,0
67584,1024,0
68608,1024,0
69632,1024,0
70656,1024,0
71680,1024,0
72704,1024,0
73728,1024,0
74752,1024,0
75776,1024,0
76800,1024,0
77824,1024,0
78848,1024,0
79872,1024,0
80896,1024,0
81920,1024,0
82944,1024,0
83968,1024,0
84992,1024,0
86016,1024,0
87040,1024,0
88064,1024,0
89088,1024,0
90112,1024,0
91136,1024,0
92160,1024,0
93184,1024,0
94208,1024,0
95232,1024,0
96256,1024,0
97280,1024,0
98304,1024,0
99328,1024,0
100352,1024,0
101376,1024,0
102400,1024,0
103424,1024,0
104448,1024,0
105472,1024,0
106496,1024,0
107520,1024,0
108544,1024,0
109568,1024,0
110592,1024,0
111616,1024,0
112640,1024,0
113664,1024,0
114688,1024,0
115712,1024,0
116736,1024,0
117760,1024,0
118784,1024,0
119808,1024,0
120832,1024,0
121856,1024,0
122880,1024,0
123904,1024,0
124928,1024,0
125952,1024,0
126976,1024,0
128000,1024,0
129024,1024,0
130048,1024,0
131072,1024,0
132096,1024,0
133120,1024,0
134144,1024,0
135168,1024,0
136192,1024,0
137216,1024,0
138240,1024,0
139264,1024,0
140288,1024,0
141312,1024,0
142336,1024,0
143360,1024,0
144384,1024,0
145408,1024,0
146432,1024,0
147456,1024,0
148480,1024,0
149504,1024,0
150528,1024,0
151552,1024,0
152576,1024,0
153600,1024,0
154624,1024,0
155648,1024,0
156672,1024,0
157696,1024,0
158720,1024,0
159744,1024,0
160768,1024,0
161792,1024,0
162816,1024,0
163840,1024,0
164864,1024,0
165888,1024,0
166912,1024,0
167936,1024,0
168960,1024,0
169984,1024,0
171008,1024,0
172032,1024,0
173056,1024,0
174080,1024,0
175104,1024,0
176128,1024,0
177152,1024,0
178176,1024,0
179200,1024,0
180224,1024,0
181248,1024,0
182272,1024,0
183296,1024,0
184320,1024,0
185344,1024,0
186368,1024,0
187392,1024,0
188416,1024,0
189440,1024,0
190464,1024,0
191488,1024,0
192512,1024,0
193536,1024,0
194560,1024,0
195584,1024,0
196608,1024,0
197632,1024,0
198656,1024,0
199680,1024,0
200704,1024,0
201728,1024,0
202752,1024,0
203776,1024,0
204800,1024,0
205824,1024,0
206848,1024,0
207872,1024,0
208896,1024,0
209920,1024,0
210944,1024,0
211968,1024,0
212992,1024,0
214016,1024,0
215040,1024,0
216064,1024,0
217088,1024,0
218112,1024,0
219136,1024,0
220160,1024,0
221184,1024,0
222208,1024,0
223232,1024,0
224256,1024,0
225280,1024,0
226304,1024,0
227328,1024,0
228352,1024,0
229376,1024,0
230400,1024,0
231424,1024,0
232448,1024,0
233472,1024,0
234496,1024,0
235520,1024,0
236544,1024,0
237568,1024,0
238592,1024,0
239616,1024,0
240640,1024,0
241664,1024,0
242688,1024,0
243712,1024,0
244736,1024,0
245760,1024,0
246784,1024,0
247808,1024,0
248832,1024,0
249856,1024,0
250880,1024,0
251904,1024,0
252928,1024,0
253952,1024,0
254976,1024,0
256000,1024,0
257024,1024,0
258048,1024,0
259072,1024,0
260096,1024,0
261120,1024,0
262144,1024,0
263168,1024,0
264192,1024,0
265216,1024,0
266240,1024,0
267264,1024,0
268288,1024,0
269312,1024,0
270336,1024,0
271360,1024,0
272384,1024,0
273408,1024,0
274432,1024,0
275456,1024,0
276480,1024,0
277504,1024,0
278528,1024,0
279552,1024,0
280576,1024,0
281600,1024,0
282624,1024,0
283648,1024,0
284672,1024,0
285696,1024,0
286720,1024,0
287744,1024,0
288768,1024,0
289792,1024,0
290816,1024,0
291840,1024,0
292864,1024,0
293888,1024,0
294912,1024,0
295936,1024,0
296960,1024,0
297984,1024,0
299008,1024,0
300032,1024,0
301056,1024,0
302080,1024,0
303104,1024,0
304128,1024,0
305152,1024,0
306176,1024,0
307200,1024,0
308224,1024,0
309248,1024,0
310272,1024,0
311296,1024,0
312320,1024,0
313344,1024,0
314368,1024,0
315392,1024,0
316416,1024,0
317440,1024,0
318464,1024,0
319488,1024,0
320512,1024,0
321536,1024,0
322560,1024,0
323584,1024,0
324608,1024,0
325632,1024,0
326656,1024,0
327680,1024,0
328704,1024,0
329728,1024,0
330752,1024,0
331776,1024,0
332800,1024,0
333824,1024,0
334848,1024,0
335872,1024,0
336896,1024,0
337920,1024,0
338944,1024,0
339968,1024,0
340992,1024,0
342016,1024,0
343040,1024,0
344064,1024,0
345088,1024,0
346112,1024,0
347136,1024,0
348160,1024,0
349184,1024,0
350208,1024,0
351232,1024,0
352256,1024,0
353280,1024,0
354304,1024,0
355328,1024,0
356352,1024,0
357376,1024,0
358400,1024,0
359424,1024,0
360448,1024,0
361472,1024,0
362496,1024,0
363520,1024,0
364544,1024,0
365568,1024,0
366592,1024,0
367616,1024,0
368640,1024,0
369664,1024,0
370688,1024,0
371712,1024,0
372736,1024,0
373760,1024,0
374784,1024,0
375808,1024,0
376832,1024,0
377856,1024,0
378880,1024,0
379904,1024,0
380928,1024,0
381952,1024,0
382976,1024,0
384000,1024,0
385024,1024,0
386048,1024,0
387072,1024,0
388096,1024,0
389120,1024,0
390144,1024,0
391168,1024,0
392192,1024,0
393216,1024,0
394240,1024,0
395264,1024,0
396288,1024,0
397312,1024,0
398336,1024,0
399360,1024,0
400384,1024,0
401408,1024,0
402432,1024,0
403456,1024,0
404480,1024,0
405504,1024,0
406528,1024,0
407552,1024,0
408576,1024,0
409600,1024,0
410624,1024,0
411648,1024,0
412672,1024,0
413696,1024,0
414720,1024,0
415744,1024,0
416768,1024,0
417792,1024,0
418816,1024,0
419840,1024,0
420864,1024,0
421888,1024,0
422912,1024,0
423936,1024,0
424960,1024,0
425984,1024,0
427008,1024,0
428032,1024,0
429056,1024,0
430080,1024,0
431104,1024,0
432128,1024,0
433152,1024,0
434176,1024,0
435200,1024,0
436224,1024,0
437248,1024,0
438272,1024,0
439296,1024,0
440320,1024,0
441344,1024,0
442368,1024,0
443392,1024,0
444416,1024,0
445440,1024,0
446464,1024,0
447488,1024,0
448512,1024,0
449536,1024,0
450560,1024,0
451584,1024,0
452608,1024,0
453632,1024,0
200704,1024,0
454656,1024,0
455680,1024,0
456704,1024,0
457728,1024,0
458752,1024,0
459776,1024,0
460800,1024,0
461824,1024,0
462848,1024,0
463872,1024,0
464896,1024,0
465920,1024,0
466944,1024,0
467968,1024,0
468992,1024,0
470016,1024,0
471040,1024,0
472064,1024,0
473088,1024,0
474112,1024,0
475136,1024,0
476160,1024,0
477184,1024,0
478208,1024,0
479232,1024,0
480256,1024,0
481280,1024,0
482304,1024,0
483328,1024,0
484352,1024,0
485376,1024,0
486400,1024,0
487424,1024,0
488448,1024,0
489472,1024,0
490496,1024,0
491520,1024,0
492544,1024,0
493568,1024,0
494592,1024,0
495616,1024,0
496640,1024,0
497664,1024,0
498688,1024,0
499712,1024,0
500736,1024,0
501760,1024,0
502784,1024,0
503808,1024,0
504832,1024,0
505856,1024,0
506880,1024,0
507904,1024,0
508928,1024,0
509952,1024,0
510976,1024,0
512000,1024,0
513024,1024,0
514048,1024,0
515072,1024,0
516096,1024,0
517120,1024,0
518144,1024,0
519168,1024,0
520192,1024,0
521216,1024,0
444416,1024,0
522240,1024,0
523264,1024,0
524288,1024,0
525312,1024,0
526336,1024,0
527360,1024,0
528384,1024,0
529408,1024,0
530432,1024,0
531456,1024,0
532480,1024,0
533504,1024,0
534528,1024,0
535552,1024,0
536576,1024,0
537600,1024,0
538624,1024,0
539648,1024,0
540672,1024,0
136192,1024,0
541696,1024,0
542720,1024,0
543744,1024,0
544768,1024,0
545792,1024,0
546816,1024,0
547840,1024,0
548864,1024,0
549888,1024,0
550912,1024,0
551936,1024,0
552960,1024,0
553984,1024,0
555008,1024,0
556032,1024,0
557056,1024,0
558080,1024,0
559104,1024,0
560128,1024,0
561152,1024,0
562176,1024,0
563200,1024,0
564224,1024,0
565248,1024,0
566272,1024,0
567296,1024,0
568320,1024,0
569344,1024,0
