offset,size,type 1769 1769 2000 16
0,16384,0
16384,16384,1
32768,16384,1
49152,16384,0
65536,16384,0
81920,16384,0
98304,16384,0
114688,16384,0
131072,16384,0
147456,16384,1
163840,16384,1
180224,16384,0
196608,16384,0
212992,16384,0
229376,16384,0
245760,16384,0
262144,16384,0
278528,16384,0
294912,16384,0
311296,16384,0
327680,16384,0
344064,16384,0
360448,16384,1
376832,16384,0
393216,16384,0
409600,16384,0
425984,16384,1
442368,16384,0
458752,16384,1
475136,16384,0
491520,16384,0
507904,16384,0
524288,16384,0
540672,16384,1
557056,16384,0
573440,16384,0
589824,16384,0
606208,16384,1
622592,16384,0
638976,16384,0
655360,16384,0
671744,16384,0
688128,16384,1
704512,16384,0
720896,16384,0
737280,16384,0
753664,16384,0
770048,16384,1
786432,16384,1
802816,16384,0
819200,16384,0
835584,16384,0
851968,16384,1
868352,16384,0
884736,16384,0
901120,16384,0
917504,16384,0
933888,16384,0
950272,16384,0
966656,16384,0
983040,16384,1
999424,16384,0
1015808,16384,0
1032192,16384,0
1048576,16384,0
1064960,16384,0
1081344,16384,0
1097728,16384,0
1114112,16384,0
1130496,16384,1
1146880,16384,1
1163264,16384,1
1179648,16384,0
1196032,16384,0
1212416,16384,0
1228800,16384,0
1245184,16384,0
1261568,16384,0
1277952,16384,1
1294336,16384,0
1310720,16384,0
1327104,16384,1
1343488,16384,0
1359872,16384,0
1376256,16384,0
1392640,16384,0
1409024,16384,0
1425408,16384,0
1441792,16384,0
1458176,16384,0
1474560,16384,0
1490944,16384,0
1507328,16384,0
1523712,16384,0
1540096,16384,0
1556480,16384,0
1572864,16384,1
1589248,16384,0
1605632,16384,0
1622016,16384,1
1638400,16384,0
1654784,16384,0
1671168,16384,0
1687552,16384,0
1703936,16384,1
1720320,16384,0
1736704,16384,0
1753088,16384,0
1769472,16384,0
1785856,16384,0
1802240,16384,0
1818624,16384,0
1835008,16384,1
1851392,16384,0
1867776,16384,1
1884160,16384,0
1900544,16384,0
1916928,16384,0
1933312,16384,0
1949696,16384,1
1966080,16384,0
1982464,16384,0
1998848,16384,0
2015232,16384,1
2031616,16384,0
2048000,16384,0
2064384,16384,0
262144,16384,0
2080768,16384,0
2097152,16384,0
2113536,16384,0
2129920,16384,0
2146304,16384,0
2162688,16384,0
2179072,16384,0
2195456,16384,0
1310720,16384,0
2211840,16384,0
2228224,16384,1
2244608,16384,1
2260992,16384,0
2277376,16384,0
2293760,16384,0
2310144,16384,0
2326528,16384,1
2342912,16384,0
2359296,16384,1
2375680,16384,0
2392064,16384,0
2408448,16384,0
2424832,16384,0
2441216,16384,0
2457600,16384,0
2473984,16384,0
2490368,16384,1
2506752,16384,0
2523136,16384,0
2539520,16384,0
2555904,16384,1
2572288,16384,0
2588672,16384,0
2605056,16384,0
2621440,16384,1
2637824,16384,0
2654208,16384,0
2670592,16384,0
2686976,16384,0
2703360,16384,0
2719744,16384,0
2736128,16384,0
2752512,16384,0
2768896,16384,0
2785280,16384,0
2801664,16384,0
2818048,16384,0
2834432,16384,0
2850816,16384,1
2867200,16384,1
2883584,16384,0
2899968,16384,0
2916352,16384,1
2932736,16384,0
2949120,16384,0
2965504,16384,0
2981888,16384,0
2998272,16384,0
3014656,16384,0
3031040,16384,0
3047424,16384,0
3063808,16384,0
3080192,16384,0
3096576,16384,0
3112960,16384,0
3129344,16384,0
3145728,16384,0
3162112,16384,0
3178496,16384,0
3194880,16384,1
3211264,16384,0
3227648,16384,0
3244032,16384,0
3260416,16384,0
3276800,16384,1
3293184,16384,0
3309568,16384,1
3325952,16384,0
1441792,16384,1
3342336,16384,0
671744,16384,1
3358720,16384,0
3375104,16384,0
3391488,16384,1
3407872,16384,1
3424256,16384,1
3440640,16384,0
3457024,16384,1
3473408,16384,0
3489792,16384,0
3506176,16384,0
3522560,16384,0
3538944,16384,0
3555328,16384,1
3571712,16384,0
3588096,16384,0
3604480,16384,1
3620864,16384,0
3637248,16384,0
3653632,16384,1
3670016,16384,0
3686400,16384,0
3702784,16384,0
3719168,16384,0
3735552,16384,0
3751936,16384,1
3768320,16384,0
3784704,16384,1
3801088,16384,0
2555904,16384,0
3817472,16384,1
3833856,16384,0
3850240,16384,0
3866624,16384,0
3883008,16384,0
3899392,16384,0
3915776,16384,0
3932160,16384,0
3948544,16384,1
3964928,16384,0
3981312,16384,0
3997696,16384,0
4014080,16384,0
4030464,16384,0
4046848,16384,0
4063232,16384,0
4079616,16384,0
4096000,16384,0
4112384,16384,0
4128768,16384,0
4145152,16384,0
4161536,16384,1
4177920,16384,0
4194304,16384,0
4210688,16384,0
4227072,16384,0
4243456,16384,1
4259840,16384,0
4276224,16384,0
4292608,16384,0
4308992,16384,0
4325376,16384,0
4341760,16384,1
4358144,16384,0
4374528,16384,0
4390912,16384,0
4407296,16384,0
4423680,16384,0
4440064,16384,1
4456448,16384,0
4472832,16384,0
4489216,16384,1
4505600,16384,0
4521984,16384,0
4538368,16384,0
4554752,16384,0
4571136,16384,1
4587520,16384,0
4603904,16384,0
4620288,16384,0
4636672,16384,0
4653056,16384,1
4669440,16384,0
4685824,16384,0
4702208,16384,0
4718592,16384,0
4734976,16384,0
4751360,16384,0
4767744,16384,0
4784128,16384,1
4800512,16384,0
4816896,16384,0
4833280,16384,0
4849664,16384,0
4866048,16384,0
4882432,16384,0
4898816,16384,1
4915200,16384,0
4931584,16384,1
4947968,16384,0
4964352,16384,0
4980736,16384,0
4997120,16384,0
5013504,16384,0
5029888,16384,0
5046272,16384,0
5062656,16384,0
5079040,16384,0
5095424,16384,1
5111808,16384,0
5128192,16384,1
5144576,16384,0
5160960,16384,0
5177344,16384,0
5193728,16384,0
5210112,16384,0
5226496,16384,0
5242880,16384,0
5259264,16384,1
5275648,16384,1
5292032,16384,0
5308416,16384,0
5324800,16384,0
5341184,16384,0
5357568,16384,0
5373952,16384,0
5390336,16384,0
5406720,16384,0
5423104,16384,0
5439488,16384,0
5455872,16384,0
5472256,16384,0
5488640,16384,0
5505024,16384,0
5521408,16384,1
5537792,16384,1
5554176,16384,0
5570560,16384,0
5586944,16384,0
5603328,16384,0
5619712,16384,0
5636096,16384,1
5652480,16384,0
5668864,16384,1
5685248,16384,0
5701632,16384,0
5718016,16384,0
5734400,16384,1
5750784,16384,0
5767168,16384,0
5783552,16384,0
5799936,16384,1
5816320,16384,1
5832704,16384,0
5849088,16384,1
5865472,16384,1
5881856,16384,0
5898240,16384,0
5914624,16384,0
5931008,16384,0
5947392,16384,0
5963776,16384,0
5980160,16384,0
5996544,16384,0
6012928,16384,1
6029312,16384,1
3899392,16384,0
6045696,16384,1
6062080,16384,0
6078464,16384,0
6094848,16384,0
6111232,16384,0
6127616,16384,0
6144000,16384,0
6160384,16384,0
6176768,16384,1
6193152,16384,0
6209536,16384,0
6225920,16384,0
6242304,16384,0
6258688,16384,0
6275072,16384,0
6291456,16384,0
6307840,16384,0
1277952,16384,1
6324224,16384,1
6340608,16384,0
6356992,16384,0
6373376,16384,0
6389760,16384,0
6406144,16384,1
6422528,16384,1
6438912,16384,0
6455296,16384,0
6471680,16384,1
6488064,16384,0
6504448,16384,0
6520832,16384,0
6537216,16384,0
6553600,16384,0
180224,16384,0
6569984,16384,0
6586368,16384,0
6602752,16384,0
6619136,16384,0
6635520,16384,0
6651904,16384,0
6668288,16384,0
6684672,16384,0
6701056,16384,0
6717440,16384,0
6733824,16384,0
6750208,16384,0
6766592,16384,0
6782976,16384,0
6799360,16384,0
6815744,16384,0
6832128,16384,0
6848512,16384,0
6864896,16384,0
6881280,16384,0
6897664,16384,0
6914048,16384,0
6930432,16384,0
6946816,16384,0
6963200,16384,0
6979584,16384,0
6995968,16384,0
7012352,16384,0
1212416,16384,1
7028736,16384,0
7045120,16384,0
7061504,16384,0
7077888,16384,0
7094272,16384,0
7110656,16384,1
7127040,16384,0
7143424,16384,0
7159808,16384,0
7176192,16384,1
7192576,16384,0
7208960,16384,0
7225344,16384,0
7241728,16384,0
7258112,16384,0
1114112,16384,0
7274496,16384,0
7290880,16384,0
7307264,16384,0
3653632,16384,0
7323648,16384,0
7340032,16384,0
7356416,16384,0
7372800,16384,1
7389184,16384,1
7405568,16384,0
7421952,16384,0
7438336,16384,0
7454720,16384,0
7471104,16384,1
7487488,16384,0
7503872,16384,1
7520256,16384,0
7536640,16384,1
7553024,16384,0
7569408,16384,0
4489216,16384,0
7585792,16384,0
7602176,16384,1
7618560,16384,0
7634944,16384,1
5292032,16384,1
7651328,16384,0
7667712,16384,0
7684096,16384,1
7700480,16384,0
7716864,16384,0
6684672,16384,0
7733248,16384,0
7749632,16384,0
7766016,16384,1
7782400,16384,0
7798784,16384,1
7815168,16384,0
7831552,16384,0
7847936,16384,0
7864320,16384,1
7880704,16384,0
7897088,16384,0
7913472,16384,0
7929856,16384,0
7946240,16384,0
7962624,16384,0
7979008,16384,0
7995392,16384,0
8011776,16384,0
8028160,16384,1
8044544,16384,0
5390336,16384,0
8060928,16384,0
8077312,16384,0
8093696,16384,0
6160384,16384,0
8110080,16384,0
8126464,16384,0
8142848,16384,0
8159232,16384,0
8175616,16384,0
8192000,16384,0
8208384,16384,1
8224768,16384,1
8241152,16384,0
8257536,16384,0
8273920,16384,0
8290304,16384,0
8306688,16384,0
8323072,16384,1
8339456,16384,0
8355840,16384,0
8372224,16384,0
8388608,16384,0
8404992,16384,0
8421376,16384,0
3145728,16384,0
8437760,16384,0
8454144,16384,0
8470528,16384,1
8486912,16384,0
8503296,16384,0
8519680,16384,0
8536064,16384,1
8552448,16384,0
8568832,16384,0
8585216,16384,0
8601600,16384,0
8617984,16384,1
8634368,16384,0
8650752,16384,0
8667136,16384,0
8683520,16384,1
8699904,16384,0
8716288,16384,0
8732672,16384,0
8749056,16384,0
8765440,16384,0
8781824,16384,0
8798208,16384,0
8814592,16384,0
8830976,16384,0
8847360,16384,1
8863744,16384,1
8880128,16384,0
4374528,16384,0
8896512,16384,0
8912896,16384,0
8929280,16384,0
8945664,16384,0
8962048,16384,0
8978432,16384,1
8994816,16384,0
9011200,16384,0
9027584,16384,0
9043968,16384,0
9060352,16384,0
9076736,16384,0
